time,bnorm,group1_flux,group1diff,group1max,group1norm,group2_flux,group2diff,group2max,group2norm,group3_flux,group4_flux,powernorm,tot_fissions,Executioner/eigenvalue
0,1.004,0,9.0308731907931,0,84.753193226301,0,9.0308731907931,0,84.753193226301,0,0,1.2744134855218e-11,0.41179786449208,1.004
1,1.393561917733,1.1061562154758,2.0991624938793,1.3675905684343,97.424708678035,1.0027115169379,0.38344546440498,1.0104274778673,88.313816854306,0.39201612281342,1.6981168464281,1.7689008374425e-11,0.57158221219354,1.393561917733
2,1.6571869031658e+16,1.3154116582951e+16,1.2492003320662e+17,1.6263024628208e+16,1.1585488180434e+18,1.1923979640791e+16,1.1190644906633e+17,1.2015735803434e+16,1.0502045068627e+18,4.6617518481925e+15,2.019355553662e+16,210353,6.7971041980726e+15,1.393561917733
