group1,group2,group3,group4,id,temp,x,y,z
78468124447736,74771996686855,33215408445509,3.2627394017692e+14,21.04824120603,925.49133874895,20.26,21.04824120603,0
81159145514554,74654962491737,32905947833855,3.2390911923402e+14,19.637185929648,1148.5231526241,20.26,19.637185929648,0
80992545325655,74659118581116,32923660615057,3.2406524488773e+14,19.754773869347,1152.1524062844,20.26,19.754773869347,0
80816651393296,74664162944586,32942663522202,3.2422822939583e+14,19.872361809045,1151.8310107382,20.26,19.872361809045,0
80624886057346,74670662382375,32963868222183,3.2440352959465e+14,19.989949748744,1144.9157739362,20.26,19.989949748744,0
80422755714776,74678160100286,32986510005389,3.245867768002e+14,20.107537688442,1133.7013530474,20.26,20.107537688442,0
80211096798813,74686615241456,33010523570603,3.2477697671916e+14,20.225125628141,1118.4620306262,20.26,20.225125628141,0
79984984251109,74696543879183,33036558825624,3.2497827053605e+14,20.342713567839,1097.2076403663,20.26,20.342713567839,0
79746289227489,74707734529935,33064412481869,3.2518902865875e+14,20.460301507538,1070.7916447205,20.26,20.460301507538,0
79495593928737,74720094958719,33094008714207,3.2540889323739e+14,20.577889447236,1039.5599991233,20.26,20.577889447236,0
79232965229013,74733849576088,33125372220143,3.2563751263498e+14,20.695477386935,1003.2900161582,20.26,20.695477386935,0
78965210604940,74747716593317,33156809440305,3.2586349563845e+14,20.813065326633,977.08177304595,20.26,20.813065326633,0
78710644578113,74760494128643,33186765205225,3.2607513228619e+14,20.930653266332,951.28727787789,20.26,20.930653266332,0
81313030172227,74651917064067,32889994671874,3.2376294419448e+14,19.51959798995,1139.5953154568,20.26,19.51959798995,0
86842279706661,74660957555836,32460089771151,3.1871562420075e+14,13.405025125628,1138.8980781492,20.26,13.405025125628,0
86790442222763,74657921470343,32463483767220,3.1877394312538e+14,13.522613065327,1128.9093268568,20.26,13.522613065327,0
86725213530347,74656007591896,32468312069544,3.1884367127221e+14,13.640201005025,1113.3957395596,20.26,13.640201005025,0
86645589328522,74655415493359,32474720705888,3.1892565830789e+14,13.757788944724,1091.7196093552,20.26,13.757788944724,0
86555542643690,74655575185049,32482202507995,3.1901666145305e+14,13.875376884422,1065.968830754,20.26,13.875376884422,0
86449100921272,74657341414685,32491529916869,3.1912187192802e+14,13.992964824121,1032.5707297515,20.26,13.992964824121,0
