time,bnorm,group1_flux,group1diff,group2_flux,group3_flux,group4_flux,powernorm,temp_ave,temp_max,tot_fissions,Executioner/eigenvalue
0,1.4,0,11.988168481737,0,0,0,1.777195118848e-11,0,0,0.57426685236439,1.4
1,1.3456879807152,1.1070735518743,1.6477660163765,1.0020951276575,0.37846535677153,1.4041051590083,1.7082952762102e-11,1017.6303707874,1127.7111435586,0.55200683611664,1.3456879807152
2,1.3456879807152,1.1070735518743,0,1.0020951276575,0.37846535677153,1.4041051590083,1.7082952762102e-11,1017.6303707874,1127.7111435586,0.55200683611664,1.3456879807152
3,1.1469455703631e+14,94357170799237,8.8618193120308e+14,85409737191696,32257044032917,1.1967352131603e+14,1456,1017.6303707874,1127.7111435586,47048186843254,1.3456879807152
