time,bnorm,group1_flux,group1diff,group2_flux,group3_flux,group4_flux,powernorm,temp_ave,temp_max,tot_fissions,Executioner/eigenvalue
0,1.4,0,8.1156777805793,0,0,0,1.7771246188658e-11,0,0,0.57424108770562,1.4
1,1.4036301991351,0.1528788280469,4.2835425071892,0.14578190096259,0.061581258075266,0.38803641590688,1.7821328841851e-11,1004.6760824171,1187.1477223075,0.5758829018124,1.4036301991351
2,1.4036301991351,0.1528788280469,0,0.14578190096259,0.061581258075266,0.38803641590688,1.7821328841851e-11,1004.6760824171,1187.1477223075,0.5758829018124,1.4036301991351
3,6.8845211709622e+14,74983961511321,1.8920012701191e+15,71503062853627,30204356903613,1.9032398434155e+14,8741,1004.6760824171,1187.1477223075,2.8245887214207e+14,1.4036301991351
