time,bnorm,group1_flux,group1diff,group2_flux,group3_flux,group4_flux,powernorm,temp_ave,temp_max,tot_fissions,Executioner/eigenvalue
0,1.4,0,11.988168481737,0,0,0,1.777195118848e-11,0,0,0.57426685236438,1.4
1,1.3456709401675,1.1070737682665,1.6478190460398,1.0020955202145,0.37846677538991,1.4041086228953,1.7082736203105e-11,1019.9972453295,1128.386054499,0.55199983712164,1.3456709401675
2,1.3456709401675,1.1070737682665,0,1.0020955202145,0.37846677538991,1.4041086228953,1.7082736203105e-11,1019.9972453295,1128.386054499,0.55199983712164,1.3456709401675
3,1.1469455862275e+14,94358385415039,8.8619408127273e+14,85410853395205,32257573869668,1.1967533366018e+14,1456,1019.9972453295,1128.386054499,47048186736211,1.3456709401675
