time,bnorm,group1_flux,group1diff,group2_flux,group3_flux,group4_flux,powernorm,temp_ave,temp_max,tot_fissions,Executioner/eigenvalue
0,1.4,0,7.9149195294458,0,0,0,1.7771411105058e-11,0,0,0.5742473972525,1.4
1,1.4088908885706,0.15300602673567,4.0800916336438,0.14570216497086,0.061621439067145,0.37782817246456,1.788811537117e-11,1003.6250580332,1185.9938366773,0.57804104568004,1.4088908885706
2,1.4088908885706,0.15300602673567,0,0.14570216497086,0.061621439067145,0.37782817246456,1.788811537117e-11,1003.6250580332,1185.9938366773,0.57804104568004,1.4088908885706
3,6.8845236076931e+14,74766159091973,1.8864464276482e+15,71197138300155,30111221205228,1.8462515401905e+14,8741,1003.6250580332,1185.9938366773,2.8245886586983e+14,1.4088908885706
