time,bnorm,group1_flux,group1diff,group2_flux,group3_flux,group4_flux,powernorm,temp_ave,temp_max,tot_fissions,Executioner/eigenvalue
0,1.4,0,11.988168481737,0,0,0,1.777195118848e-11,0,0,0.57426685236439,1.4
1,1.345660784366,1.1070725457923,1.6475625687693,1.0020940027473,0.3784593500074,1.4039872334004,1.7082607974171e-11,1011.2094797806,1126.2194651342,0.55199569710955,1.345660784366
2,1.345660784366,1.1070725457923,0,1.0020940027473,0.3784593500074,1.4039872334004,1.7082607974171e-11,1011.2094797806,1126.2194651342,0.55199569710955,1.345660784366
3,1.14694553958e+14,94358989512071,8.8619614169897e+14,85411365185347,32257183121216,1.1966588561429e+14,1456,1011.2094797806,1126.2194651342,47048187033662,1.345660784366
