group1,group2,group3,group4,id,temp,x,y,z
87389744922867,85639860400320,33957613068205,1.263080547133e+14,0,972.75093378147,0,1.625,0
87477460207692,85629971691757,33934433652651,1.2622461638852e+14,0.27373737373737,973.201839916,0.27373737373737,1.625,0
87565175492517,85620082983195,33911254237096,1.2614117806375e+14,0.54747474747475,973.6527460505,0.54747474747475,1.625,0
87736643847003,85600547909237,33866609452275,1.2598120782272e+14,0.82121212121212,976.45924918985,0.82121212121212,1.625,0
88005770195831,85569764952652,33796935556058,1.2573199961735e+14,1.0949494949495,982.01243230044,1.0949494949495,1.625,0
88281652546982,85538139557852,33725526723318,1.2547672337103e+14,1.3686868686869,987.78395799799,1.3686868686869,1.625,0
88721186956337,85486107605858,33612092160069,1.2507445969887e+14,1.6424242424242,998.84444187503,1.6424242424242,1.625,0
89160721365692,85434075653864,33498657596820,1.2467219602671e+14,1.9161616161616,1009.9049257521,1.9161616161616,1.625,0
89642673246089,85380084270904,33375810815615,1.2423631202069e+14,2.189898989899,1034.0249511425,2.189898989899,1.625,0
90143351988700,85325227820016,33248808640313,1.2378558499494e+14,2.4636363636364,1063.9106251797,2.4636363636364,1.625,0
90624275010102,85277369463821,33127553778999,1.2335126679483e+14,2.7373737373737,1087.8301728688,2.7373737373737,1.625,0
91055581237954,85247086928619,33020733383959,1.2295815960931e+14,3.0111111111111,1096.765703718,3.0111111111111,1.625,0
91486887465806,85216804393417,32913912988919,1.2256505242378e+14,3.2848484848485,1105.7012345673,3.2848484848485,1.625,0
91918193693658,85186521858215,32807092593880,1.2217194523826e+14,3.5585858585859,1114.6367654165,3.5585858585859,1.625,0
92309888999820,85168607449639,32710173343610,1.2181039508644e+14,3.8323232323232,1113.8703739154,3.8323232323232,1.625,0
92681534037332,85156953543241,32618265857877,1.2146481848374e+14,4.1060606060606,1108.193060344,4.1060606060606,1.625,0
93048182916011,85146556660025,32527482460185,1.2112273747282e+14,4.379797979798,1106.2979050634,4.379797979798,1.625,0
93400233756073,85139832612991,32439983481821,1.2079087006508e+14,4.6535353535354,1115.4536580156,4.6535353535354,1.625,0
93752284596136,85133108565957,32352484503457,1.2045900265735e+14,4.9272727272727,1124.6094109678,4.9272727272727,1.625,0
94060017878359,85135598842578,32276634040063,1.2015973597547e+14,5.2010101010101,1126.0569959938,5.2010101010101,1.625,0
94359685877608,85139766019537,32202903471674,1.1986640224865e+14,5.4747474747475,1126.1017836053,5.4747474747475,1.625,0
94659353876857,85143933196495,32129172903285,1.1957306852184e+14,5.7484848484848,1126.1465712169,5.7484848484848,1.625,0
94947943471185,85150066643402,32058144584485,1.1928838997242e+14,6.0222222222222,1124.2427846741,6.0222222222222,1.625,0
95198414728864,85162965589528,31996414107776,1.1903349197068e+14,6.2959595959596,1115.6343862185,6.2959595959596,1.625,0
95448885986542,85175864535653,31934683631066,1.1877859396893e+14,6.569696969697,1107.025987763,6.569696969697,1.625,0
95689460993338,85188662956965,31875527824429,1.1853336843996e+14,6.8434343434343,1111.9486326591,6.8434343434343,1.625,0
95927808001517,85201438746561,31816951667745,1.1829032052919e+14,7.1171717171717,1119.9175974418,7.1171717171717,1.625,0
96149319063857,85214916933908,31763194438424,1.1806233424834e+14,7.3909090909091,1124.5037197162,7.3909090909091,1.625,0
96346329218103,85229417302182,31716450067043,1.1785626676042e+14,7.6646464646465,1124.1668804782,7.6646464646465,1.625,0
96543339372350,85243917670456,31669705695661,1.1765019927249e+14,7.9383838383838,1123.8300412403,7.9383838383838,1.625,0
96740349526597,85258418038730,31622961324280,1.1744413178457e+14,8.2121212121212,1123.4932020023,8.2121212121212,1.625,0
96906843422095,85273150973336,31584551231926,1.1726686582005e+14,8.4858585858586,1116.6970962494,8.4858585858586,1.625,0
97065050559127,85287947061852,31548404331724,1.1709742097376e+14,8.759595959596,1108.1469621957,8.759595959596,1.625,0
97220071970709,85301800960210,31513108359702,1.1693223895735e+14,9.0333333333333,1105.8006573058,9.0333333333333,1.625,0
97369839893696,85314101119765,31479215628971,1.167740866516e+14,9.3070707070707,1113.6849094045,9.3070707070707,1.625,0
97519607816683,85326401279321,31445322898239,1.1661593434585e+14,9.5808080808081,1121.5691615031,9.5808080808081,1.625,0
97631506545506,85340413682276,31421186707460,1.1649290848411e+14,9.8545454545455,1121.6132638275,9.8545454545455,1.625,0
97742175259826,85354481699941,31397367415043,1.1637102355068e+14,10.128282828283,1121.4027133098,10.128282828283,1.625,0
97852843974147,85368549717606,31373548122626,1.1624913861726e+14,10.40202020202,1121.192162792,10.40202020202,1.625,0
97950596434576,85382949751867,31352967620085,1.1613963389587e+14,10.675757575758,1118.187355146,10.675757575758,1.625,0
98024116915569,85397972677207,31338463359952,1.1605335549428e+14,10.949494949495,1109.94028594,10.949494949495,1.625,0
98097637396562,85412995602547,31323959099819,1.159670770927e+14,11.223232323232,1101.693216734,11.223232323232,1.625,0
98165666418363,85424564981744,31310564923983,1.1589057929941e+14,11.49696969697,1108.7439623845,11.49696969697,1.625,0
98233337113818,85435909011625,31297243182894,1.1581471970619e+14,11.770707070707,1116.7929145075,11.770707070707,1.625,0
98283111677484,85445684457975,31288335592575,1.1575788574222e+14,12.044444444444,1120.5534146681,12.044444444444,1.625,0
98317003072237,85454067755595,31283345647877,1.1571793739838e+14,12.318181818182,1120.5078293742,12.318181818182,1.625,0
98350894466990,85462451053214,31278355703178,1.1567798905453e+14,12.591919191919,1120.4622440803,12.591919191919,1.625,0
98384785861743,85470834350834,31273365758480,1.1563804071069e+14,12.865656565657,1120.4166587864,12.865656565657,1.625,0
