time,bnorm,group1_flux,group1diff,group2_flux,group3_flux,group4_flux,powernorm,temp_ave,temp_max,tot_fissions,Executioner/eigenvalue
0,1.4000000000001,0,7.9149195294481,0,0,0,1.7771411105059e-11,0,0,0.57424739725248,1.4
1,1.3997708963163,0.15201278112111,4.1048335797617,0.14475165421234,0.061220019108855,0.37538790160804,1.7772322460193e-11,1004.688631591,1187.6002710804,0.57429928427507,1.3997708963162
2,1.3997708963163,0.15201278112111,0,0.14475165421234,0.061220019108855,0.37538790160804,1.7772322460193e-11,1004.688631591,1187.6002710804,0.57429928427507,1.3997708963163
3,6.8845236361797e+14,74764776677660,1.8864133456845e+15,71193520841414,30109975116032,1.8462784789694e+14,8741,1004.688631591,1187.6002710804,2.8245886574995e+14,1.3997708963163
