time,bnorm,group1_flux,group1diff,group2_flux,group3_flux,group4_flux,powernorm,temp_ave,temp_max,tot_fissions,Executioner/eigenvalue
0,1.4000000000001,0,8.3114869704254,0,0,0,1.7771059448903e-11,0,0,0.5742339029586,1.4
1,1.3986301647659,0.15293609868303,4.4773656888598,0.14584245791484,0.061603808748089,0.39811431428865,1.7757833031079e-11,1004.6221289198,1186.0935923122,0.57383097784867,1.3986301647658
2,1.3986301647659,0.15293609868303,0,0.14584245791484,0.061603808748089,0.39811431428865,1.7757833031079e-11,1004.6221289198,1186.0935923122,0.57383097784867,1.3986301647659
3,6.884525971622e+14,75280268501723,1.8994583390488e+15,71788541000610,30323457334271,1.9596519547777e+14,8740.9999999999,1004.6221289198,1186.0935923122,2.8245882076921e+14,1.3986301647659
