time,bnorm,group1_flux,group1diff,group2_flux,group3_flux,group4_flux,powernorm,temp_ave,temp_max,tot_fissions,Executioner/eigenvalue
0,1.3999999999999,0,8.5728042069384,0,0,0,1.7770774408346e-11,0,0,0.57422305814251,1.4
1,1.390986500114,0.15297177676347,4.7372496959062,0.14587020674424,0.06155863865468,0.41127084940513,1.7660748017281e-11,1004.5385630088,1185.3594702746,0.57069354857898,1.3909865001141
2,1.390986500114,0.15297177676347,0,0.14587020674424,0.06155863865468,0.41127084940513,1.7660748017281e-11,1004.5385630088,1185.3594702746,0.57069354857898,1.390986500114
3,6.8845402163029e+14,75711759172439,1.9103991561318e+15,72196912379009,30467795585670,2.0355414680808e+14,8741.0000000001,1004.5385630088,1185.3594702746,2.8245872163781e+14,1.390986500114
