group1,group2,group3,group4,id,temp,x,y,z
76207098500090,73518738293584,30719876339733,2.0092855423751e+14,0,923.03912953568,20.26,0,0
76211644705749,73518414747573,30719408727594,2.0092667963288e+14,0.11758793969849,923.03869273961,20.26,0.11758793969849,0
76225137383854,73517513148063,30718028613911,2.0092093127022e+14,0.23517587939698,923.03729330215,20.26,0.23517587939698,0
76247680025382,73516043833180,30715727858871,2.0091120856424e+14,0.35276381909548,923.03491113763,20.26,0.35276381909548,0
76279279529495,73514004876229,30712505863983,2.008975089681e+14,0.47035175879397,923.03159987106,20.26,0.47035175879397,0
76319584970849,73511340626609,30708389380678,2.0088020998822e+14,0.58793969849246,923.0277313881,20.26,0.58793969849246,0
76368786698303,73508079758039,30703363532783,2.008591141327e+14,0.70552763819095,923.02307560196,20.26,0.70552763819095,0
76427062016537,73504238443819,30697415060799,2.0083403943665e+14,0.82311557788945,923.01776809689,20.26,0.82311557788945,0
76496755023470,73498714429355,30688810970015,2.0079712578073e+14,0.94070351758794,923.01385505546,20.26,0.94070351758794,0
76580732623924,73490262287789,30675572663152,2.007387991913e+14,1.0582914572864,923.01316404743,20.26,1.0582914572864,0
76678734968684,73480234424863,30659727493265,2.0066680248042e+14,1.1758793969849,923.01215594795,20.26,1.1758793969849,0
76790824435673,73468623380460,30641267033918,2.005810980676e+14,1.2934673366834,923.01082638102,20.26,1.2934673366834,0
76917028240024,73455404194969,30620185170618,2.0048168187089e+14,1.4110552763819,923.00920812927,20.26,1.4110552763819,0
77057376250793,73440548880341,30596474817261,2.0036855062171e+14,1.5286432160804,923.00734326482,20.26,1.5286432160804,0
77212347245290,73423961908072,30570040567827,2.0024127481628e+14,1.6462311557789,923.00528340536,20.26,1.6462311557789,0
77381705057544,73405574238291,30540895468232,2.0010014375229e+14,1.7638190954774,923.00309695886,20.26,1.7638190954774,0
77565315387076,73385443587040,30509093223792,1.9994529645656e+14,1.8814070351759,923.0008202485,20.26,1.8814070351759,0
77754040766911,73370821996249,30485835789877,1.9983255217996e+14,1.9989949748744,922.99970371617,20.26,1.9989949748744,0
77950875453533,73357053776110,30463499651583,1.9972477921759e+14,2.1165829145729,922.94003836871,20.26,2.1165829145729,0
78156793753315,73343092123491,30440274165220,1.9961273795715e+14,2.2341708542714,925.38375497669,20.26,2.2341708542714,0
78378428287023,73321355459390,30403653267038,1.9943407228566e+14,2.3517587939698,951.18403988445,20.26,2.3517587939698,0
78614189125529,73296912037045,30362885600006,1.9923314014469e+14,2.4693467336683,978.73906993037,20.26,2.4693467336683,0
78864340579897,73270786501609,30319640616502,1.9901796288553e+14,2.5869346733668,1006.2934743967,20.26,2.5869346733668,0
79111032951084,73244519420714,30275652601832,1.9880013262308e+14,2.7045226130653,1044.138803579,20.26,2.7045226130653,0
79344314830391,73220009587359,30233924024174,1.9859343327686e+14,2.8221105527638,1078.4721109078,20.26,2.8221105527638,0
79563978455638,73197318276534,30194623630256,1.9839877640855e+14,2.9396984924623,1107.5553657203,20.26,2.9396984924623,0
79769806604797,73176536804218,30157803311794,1.9821632844339e+14,3.0572864321608,1131.1575792754,20.26,3.0572864321608,0
79961934538706,73157595260492,30123416490741,1.9804603024509e+14,3.1748743718593,1149.3499184672,20.26,3.1748743718593,0
80141066998995,73140354432316,30091321275383,1.978873095776e+14,3.2924623115578,1162.4279203217,20.26,3.2924623115578,0
80306707921824,73124869770629,30061606338510,1.977406125841e+14,3.4100502512563,1170.1465054472,20.26,3.4100502512563,0
80458819666183,73111121708258,30034270859268,1.9760600050977e+14,3.5276381909548,1172.4746842818,20.26,3.5276381909548,0
80597973094616,73099014937369,30009208390680,1.974829916795e+14,3.6452261306533,1169.6245306238,20.26,3.6452261306533,0
80723423411020,73088615261405,29986545821315,1.9737228348784e+14,3.7628140703518,1161.2816983734,20.26,3.7628140703518,0
80835725568410,73079824925343,29966185013012,1.9727339264109e+14,3.8804020100503,1147.6558175003,20.26,3.8804020100503,0
80935372459506,73072568366239,29948039673042,1.9718587734791e+14,3.9979899497487,1128.9317953914,20.26,3.9979899497487,0
81022103788567,73066848851058,29932157125488,1.9710999621296e+14,4.1155778894472,1104.9909494551,20.26,4.1155778894472,0
81095163832165,73062770455686,29918686423916,1.9704641750107e+14,4.2331658291457,1075.4457360971,20.26,4.2331658291457,0
81155224490968,73060144608610,29907495266272,1.9699457858314e+14,4.3507537688442,1040.6841478704,20.26,4.3507537688442,0
81203706481343,73058825168723,29898402761640,1.9695331234264e+14,4.4683417085427,1003.160963319,20.26,4.4683417085427,0
81256994958743,73056713854275,29888709574857,1.9690804136287e+14,4.5859296482412,975.54083793301,20.26,4.5859296482412,0
81324922901199,73052305077669,29876433240863,1.9684883936835e+14,4.7035175879397,947.91914602158,20.26,4.7035175879397,0
81407220799315,73046158406918,29862652913097,1.9678102311311e+14,4.8211055276382,924.56817951468,20.26,4.8211055276382,0
81498460405625,73041101678435,29852118933728,1.9672947372648e+14,4.9386934673367,922.84577885455,20.26,4.9386934673367,0
81598284107937,73035564803041,29840717837612,1.9667403731659e+14,5.0562814070352,922.97080881,20.26,5.0562814070352,0
81708432473136,73029487478082,29828289445831,1.9661372079131e+14,5.1738693467337,923.00368111771,20.26,5.1738693467337,0
81827491384422,73022882328237,29814970834270,1.9654940008868e+14,5.2914572864322,923.07824152114,20.26,5.2914572864322,0
81955487603916,73015791251398,29800771375559,1.9648085912586e+14,5.4090452261307,922.44595082333,20.26,5.4090452261307,0
