group1,group2,group3,group4,id,x,y,z
1.0447794611929e+16,1.1900611239192e+16,5.1452601157039e+15,2.1555247707747e+16,0,0,1.625,0
1.0452963553239e+16,1.190064851661e+16,5.1440818008686e+15,2.1549741432622e+16,0.27373737373737,0.27373737373737,1.625,0
1.0466930898066e+16,1.1900744026545e+16,5.1409027345788e+15,2.1534899066553e+16,0.54747474747475,0.54747474747475,1.625,0
1.0490667648539e+16,1.1900888413754e+16,5.135515968819e+15,2.1509795119658e+16,0.82121212121212,0.82121212121212,1.625,0
1.0523914257628e+16,1.1901051917049e+16,5.1280070540406e+15,2.1474900658001e+16,1.0949494949495,1.0949494949495,1.625,0
1.0566188169747e+16,1.1901199938383e+16,5.1185179437619e+15,2.143095959496e+16,1.3686868686869,1.3686868686869,1.625,0
1.0618370723116e+16,1.1901280402415e+16,5.1069003683997e+15,2.1377429159041e+16,1.6424242424242,1.6424242424242,1.625,0
1.0679904342236e+16,1.1901235836666e+16,5.0933299747434e+15,2.1315271660817e+16,1.9161616161616,1.9161616161616,1.625,0
1.0749401825211e+16,1.1901156004094e+16,5.07812895718e+15,2.1245635492321e+16,2.189898989899,2.189898989899,1.625,0
1.0825729772733e+16,1.1901335550583e+16,5.0618894616683e+15,2.1169795424862e+16,2.4636363636364,2.4636363636364,1.625,0
1.0909014732146e+16,1.1901747080744e+16,5.0446671063962e+15,2.1087917777428e+16,2.7373737373737,2.7373737373737,1.625,0
1.0998991390539e+16,1.1902293283198e+16,5.0264134238616e+15,2.1000034442407e+16,3.0111111111111,3.0111111111111,1.625,0
1.109553147006e+16,1.1902889017331e+16,5.0071206987492e+15,2.0906340259524e+16,3.2848484848485,3.2848484848485,1.625,0
1.1198708983064e+16,1.1903448164989e+16,4.9867356108506e+15,2.0806779146941e+16,3.5585858585859,3.5585858585859,1.625,0
1.13086117045e+16,1.1903872298215e+16,4.9651896550923e+15,2.0701231693878e+16,3.8323232323232,3.8323232323232,1.625,0
