time,bnorm,group1_flux,group1diff,group2_flux,group3_flux,group4_flux,powernorm,temp_ave,temp_max,tot_fissions,Executioner/eigenvalue
0,1.4,0,7.9149195294479,0,0,0,1.7771411105058e-11,0,0,0.57424739725249,1.4
1,1.4089498136651,0.15300596307975,4.0800964497316,0.14570220605305,0.061622007336946,0.37784929465066,1.7888863558513e-11,1004.7076007865,1187.6581450342,0.57806522309763,1.4089498136651
2,1.4089498136651,0.15300596307975,0,0.14570220605305,0.061622007336946,0.37784929465066,1.7888863558513e-11,1004.7076007865,1187.6581450342,0.57806522309763,1.4089498136651
3,6.8845235925486e+14,74763000953384,1.8863684121621e+15,71194180610967,30110239500146,1.8462775311234e+14,8740.9999999999,1004.7076007865,1187.6581450342,2.8245886601845e+14,1.4089498136651
