time,bnorm,group1_flux,group1diff,group2_flux,group3_flux,group4_flux,powernorm,temp_ave,temp_max,tot_fissions,Executioner/eigenvalue
0,1.4,0,11.988168481737,0,0,0,1.777195118848e-11,0,0,0.57426685236439,1.4
1,1.3456532050804,1.107073766123,1.647818977322,1.0020955789845,0.37846651940775,1.4040880869611,1.7082510976498e-11,1020.0205917973,1128.4342238298,0.55199255880262,1.3456532050804
2,1.3456532050804,1.107073766123,0,1.0020955789845,0.37846651940775,1.4040880869611,1.7082510976498e-11,1020.0205917973,1128.4342238298,0.55199255880262,1.3456532050804
3,1.1469455920693e+14,94359629312852,8.8620576250967e+14,85411984514967,32257977355659,1.1967516118841e+14,1456,1020.0205917973,1128.4342238298,47048186693533,1.3456532050804
