time,bnorm,group1_flux,group1diff,group2_flux,group3_flux,group4_flux,powernorm,temp_ave,temp_max,tot_fissions,Executioner/eigenvalue
0,1.4,0,7.9149195294459,0,0,0,1.7771411105058e-11,0,0,0.5742473972525,1.4
1,1.4088839174088,0.15300628304313,4.0800728277509,0.14570205946953,0.061620840261021,0.37780766877932,1.7888027356578e-11,1001.7512504069,1186.0449113454,0.57803820403986,1.4088839174087
2,1.4088839174088,0.15300628304313,0,0.14570205946953,0.061620840261021,0.37780766877932,1.7888027356578e-11,1001.7512504069,1186.0449113454,0.57803820403986,1.4088839174088
3,6.8845234170226e+14,74766652209317,1.8864524541082e+15,71197437058641,30111076754560,1.8461604328807e+14,8741,1001.7512504069,1186.0449113454,2.8245886708433e+14,1.4088839174088
