time,bnorm,group1_flux,group1diff,group2_flux,group3_flux,group4_flux,powernorm,temp_ave,temp_max,tot_fissions,Executioner/eigenvalue
0,1.4,0,7.9149195294458,0,0,0,1.7771411105058e-11,0,0,0.5742473972525,1.4
1,1.4088921750156,0.15300730632967,4.0799993605845,0.14570164768284,0.061618669584511,0.37774330916956,1.7888134214802e-11,995.96250701836,1185.4361806732,0.5780416672541,1.4088921750156
2,1.4088914808648,0.15300723321834,4.7199012798463e-05,0.14570164762372,0.061618668263159,0.37774306435833,1.7888125399409e-11,995.96295297889,1185.4361012995,0.57804138238043,1.4088914808648
3,6.884522642404e+14,74766706722977,1.8864293476802e+15,71196845585674,30109850376276,1.8458346259498e+14,8741,995.96295297889,1185.4361012995,2.8245887204895e+14,1.4088914808648
