time,bnorm,group1_flux,group1diff,group2_flux,group3_flux,group4_flux,powernorm,temp_ave,temp_max,tot_fissions,Executioner/eigenvalue
0,1.4,0,11.988168481738,0,0,0,1.7771951188479e-11,0,0,0.57426685236439,1.4
1,1.3456403431779,1.1070739039713,1.6478364016853,1.002095767364,0.37846680326075,1.4040789940654,1.7082347592679e-11,1021.5269913022,1129.7259369893,0.55198727875157,1.3456403431778
2,1.3456403431779,1.1070739039713,0,1.002095767364,0.37846680326075,1.4040789940654,1.7082347592679e-11,1021.5269913022,1129.7259369893,0.55198727875157,1.3456403431779
3,1.1469455992727e+14,94360543563290,8.8621460111922e+14,85412817492800,32258310080507,1.1967553079386e+14,1456,1021.5269913022,1129.7259369893,47048186644248,1.3456403431779
